iter	F1	Logloss
0	0.6334009371	0.6868626949
1	0.6334878546	0.6786354349
2	0.6157439851	0.6731128925
3	0.6217904233	0.6660798718
4	0.6223279763	0.6595938783
5	0.6252425677	0.65400562
6	0.6320352905	0.6487853418
7	0.621588818	0.646267333
8	0.6252242415	0.640682151
9	0.6324549237	0.6355931277
10	0.6314204063	0.6327338117
11	0.6414137592	0.6304394765
12	0.6381666603	0.6283180635
13	0.6373116152	0.6264999344
14	0.6332872928	0.6247493194
15	0.6390532544	0.6222974327
16	0.639571949	0.6200738853
17	0.6421032722	0.6160483943
18	0.6427030913	0.6136770773
19	0.6416138941	0.6121568052
20	0.6448091546	0.610116418
21	0.6483278591	0.6089159822
22	0.6461226635	0.6076409357
23	0.6531617236	0.6056817768
24	0.6552543632	0.6043379162
25	0.6541353383	0.6033878069
26	0.654955525	0.6027363054
27	0.6566909886	0.6018137672
28	0.6588460266	0.6004923752
29	0.6623589968	0.5995031938
30	0.6654331737	0.5984340631
31	0.6670292614	0.5968221172
32	0.6666424445	0.5957943371
33	0.6705882353	0.5948990291
34	0.6686936692	0.5943908826
35	0.6740145042	0.5933195445
36	0.6783391696	0.5916636536
37	0.6772532189	0.5913137705
38	0.6775125763	0.5909155048
39	0.6789986787	0.5893953767
40	0.682138034	0.5886193052
41	0.6818861742	0.5881085736
42	0.6802164163	0.5872016505
43	0.6839731525	0.586730259
44	0.6843523904	0.5861984854
45	0.682821105	0.586041101
46	0.6806461966	0.5847821515
47	0.6839466667	0.5843584337
48	0.6876061121	0.5833501333
49	0.6880520031	0.5828537857
50	0.6871965697	0.5826275403
51	0.6880928784	0.5822316851
52	0.6895651867	0.5812966026
53	0.6893851201	0.5811509009
54	0.6907587961	0.5804224913
55	0.690286118	0.5801502542
56	0.6906200318	0.5799240674
57	0.6905712368	0.5792749237
58	0.6908152808	0.5790911237
59	0.6906352742	0.578962163
60	0.690606168	0.5785980165
61	0.6916787598	0.5780323422
62	0.6919159771	0.5776262649
63	0.6930413282	0.5770388782
64	0.6921933612	0.5765520382
65	0.693180613	0.5759498743
66	0.6933597201	0.5758390326
67	0.6940100949	0.5755389768
