iter	Passed	Remaining
0	107	107524
1	215	107641
2	302	100641
3	407	101405
4	509	101349
5	602	99880
6	691	98072
7	829	102867
8	926	102067
9	1019	100903
10	1101	99079
11	1183	97462
12	1312	99679
13	1393	98158
14	1519	99769
15	1665	102407
16	1781	103011
17	1821	918	2018	1871	9619	2223	108973
20	2329	108592
21	2420	107617
22	2487	105660
23	2569	104506224	2656	103609
25	2720	101903
26	2790	10027	227	2867	9928	228	2937	98359
29	3032	98061
30	3094	96732
31	3162	9532	232	3215	9433	233	3280	9334	334	3326	9135	3146	84244
36	3224	83932
37	3304	83644
38	3393	83631
39	3454	82913
40	3506	82021
41	3595	82016
42	3669	81668
43	3753	81545
44	344	4111	8745	3903	80954
46	3991	80933
47	4068	80693
48	4170	80937
49	4277	81264
50	4362	81177
51	4444	81018
52	4548	81276
53	4638	81263
54	4719	81084
55	4826	81356
56	4936	81663
57	5023	81584
58	5079	81014
59	5164	80915
60	5256	80917
61	5387	81505
62	5470	81356
63	5548	81142
64	5623	80885
65	5691	80544
66	5752	80106
67	5812	79661
68	5862	79098
69	5931	78799
70	5993	78427
71	6050	77989
72	6130	77849
73	6191	77477
74	6251	77102
75	6322	76862
76	6390	76602
77	6446	76197
78	6501	75796
79	6560	75450
80	6627	75188
81	6692	74920
82	6747	74545
83	6803	74190
84	6861	73857
85	6912	73466
86	6968	73128
87	7028	72837
88	7096	72642
89	7154	72339
90	7229	72219
91	7298	72036
92	7379	71974
93	7445	71761
94	7538	71816
95	7605	71617
96	7712	71799
97	7779	71606
98	7856	71505
99	7907	71167
100	7945	70721
101	7991	70355
102	8040	70023
103	8105	69832
104	8148	69454
105	8238	69479
106	8316	69406
107	8381	69226
108	8464	69188
109	8541	69110
110	8602	68896
111	8638	68493
112	8674	68088
113	8720	67773
114	8781	67576
115	8826	67260
116	8890	67097
117	8962	66992
118	9006	66681
119	9042	66312
120	9108	66165
121	9151	65860
122	9186	65501
123	9218	65125
124	9278	64946
125	9329	64717
126	9376	64454
127	9424	64203
128	9487	64060
129	9540	63848
130	9620	63815
131	9676	63628
132	9756	63600
133	9794	63300
134	9803	62818
135	9834	62478
136	9870	62178
137	9935	62057
138	9980	61822
139	10051	61747
140	10122	61670
141	10180	61514
142	102142	10456143	102143	10490	62362
144	10525	62064
145	10551	61718
146	10567147	103147	10597148	10404	59424
149	10488	59435
150	10543	59283
151	10618	59238
152	10665	59043
153	10721	58900
154	10775	58743
155	10846	58683
156	10884	58442
157	10934	58269
158	10983	58093
159	11034	57932
160	11093	57808
161	11160	57732
162	11209	57560
163	11261	57404
164	11318	57280
165	11358	57063
166	11388	56804
167	11421	56563
168	11477	56434
169	11538	56336
170	11579	56134
171	11637	56024
172	11680	55837
173	11707	55576
174	11728	55290
175	11744	54986
176	11759	54677
177	11777	54386
178	11799	54121
179	11814	53823
180	11830	53530
181	11850	53263
182	11866	52977
183	11879	52683
184	11893	52394
185	119185	12168	53255
186	12195187	119187	12226	52806
188	12256	52592
189	12301	52441
190	12323	52198
191	12345192	121192	12381193	121193	12409194	122194	12450195	122195	12489	51232
196	12522	51042
197	12555	50854
198	12611	50762
199	12641	50565
200	12679	50400
201	12721	50254
202	12800	50255
203	12845	50123
204	12888	49982
205	12933	49849
206	12971	49694
207	13020	49576
208	13058	49422
209	13097	49273
210	13134	49112
211	13163	48929
212	13199	48771
213	13258	48697
214	13298	48556
215	13330	48383
216	13371	48249
217	13402	48078
218	13449	47963
219	13495	47847
220	13537	47719
221	13568	47550
222	13585	47337
223	13598	47108
224	13629	46946
225	13655	46767
226	13679	46581
227	13697	46378
228	13711	46163
229	13723	45943
230	13740	45743
231	13756	45539
232	13790	45395
233	13808	45202
234	13824	45002
235	13847	44829
236	13914	44797
237	13968	44722
238	14006	44599
239	14048	44485
240	14080	44344
241	14115	44213
242	14160	44114
243	14198	43991
244	14228	43846
245	14256	43698
246	14280	43535
247	14304	43376
248	14329	43219
249	14369	43107
250	14401	42974
251	14431	42837
252	14460	42694
253	14480	42530
254	14507	42383
255	14524	42210
256	14552	42073
257	14579	41929
258	14611	41802
259	14647	41688
260	14679	41565
261	14708	41429
262	14734	41290
263	14760	41150
264	14789	41018
265	14818	40889
266	14841	40743
267	14867	40607
268	14893	40472
269	14919	40337
270	14964	40253
271	14995	40135
272	15031	40028
273	15062	39908
274	15091	39786
275	15124	39673
276	15149	39542
277	15174	39410
278	15200	39281
279	15237	39181
280	15275	39086
281	15297	38949
282	15323	38822
283	15335	38662
284	15372	38567
285	15425	38509
286	15460	38408
287	15489	38292
288	15517	38175
289	15557	38089
290	15587	37977
291	15623	37881
292	15656	37777
293	15683	37661
294	15709	37543
295	15745	37449
296	15785	37363
297	15824	37278
298	15857	37178
299	15883	37062
300	15907	36941
301	15932	36824
302	15961	36716
303	15990	36610
304	16019	36504
305	16047	36394
306	16075	36287
307	16102	36179
308	16127	36064
309	16155	35958
310	16189	35866
311	16220	35768
312	16267	35704
313	16281	35570
314	16293	35432
315	16306	35296
316	16318	35158
317	16350	35067
318	16379	34967
319	16407	34865
320	16433	34761
321	16463	34664
322	16492	34568
323	16519	34467
324	16555	34384
325	16599	34319
326	16636	34240
327	16671	34156
328	16696	34051
329	16718	33943
330	16747	33848
331	16772	33747
332	16801	33653
